"Date and Time (UTC)","Receiver","Transmitter","Transmitter Name","Transmitter Serial","Sensor Value","Sensor Unit","Station Name","Latitude","Longitude"
2018-07-15 15:50:52,"VR2W-132373","A69-9006-15757",NA,1276056,16.9791,"m",NA,NA,NA
2018-07-15 15:52:56,"VR2W-132373","A69-9006-15756",NA,1276056,4.8847,"°C",NA,NA,NA
2018-07-15 15:55:38,"VR2W-132373","A69-9006-15757",NA,1276056,17.8887,"m",NA,NA,NA
2018-07-15 15:58:15,"VR2W-132373","A69-9006-15756",NA,1276056,4.8847,"°C",NA,NA,NA
2018-07-15 16:06:38,"VR2W-132373","A69-9006-15756",NA,1276056,4.8847,"°C",NA,NA,NA
2018-07-15 16:11:23,"VR2W-132373","A69-9006-15756",NA,1276056,4.8847,"°C",NA,NA,NA
2018-07-15 16:13:08,"VR2W-132373","A69-9006-15757",NA,1276056,17.8887,"m",NA,NA,NA
2018-07-15 16:17:55,"VR2W-132373","A69-9006-15757",NA,1276056,18.4951,"m",NA,NA,NA
2018-07-15 16:20:32,"VR2W-132373","A69-9006-15756",NA,1276056,4.8847,"°C",NA,NA,NA
2018-07-15 16:23:04,"VR2W-132373","A69-9006-15757",NA,1276056,16.6759,"m",NA,NA,NA
2018-07-15 16:25:23,"VR2W-132373","A69-9006-15756",NA,1276056,4.8847,"°C",NA,NA,NA
2018-07-15 16:27:16,"VR2W-132373","A69-9006-15757",NA,1276056,15.7663,"m",NA,NA,NA
2018-07-15 16:33:50,"VR2W-132373","A69-9006-15756",NA,1276056,4.7278,"°C",NA,NA,NA
2018-07-15 16:35:47,"VR2W-132373","A69-9006-15757",NA,1276056,17.8887,"m",NA,NA,NA
2018-07-15 16:38:15,"VR2W-132373","A69-9006-15756",NA,1276056,4.7278,"°C",NA,NA,NA
2018-07-15 16:40:27,"VR2W-132373","A69-9006-15757",NA,1276056,16.9791,"m",NA,NA,NA
2018-07-15 16:42:05,"VR2W-132373","A69-9006-15756",NA,1276056,4.8847,"°C",NA,NA,NA
